run_type,sampler,d,P,M,rho,n_iters,burn_in,max_lag,runtime_sec,runtime_min,accept_rate,ess_mean,msjd_mean,ess_per_min,components
fixed,mpcn,10,10,,0.5,50000,1000,1000,11.297887583999909,0.1882981263999985,0.00176,39.28584316996716,8.458075902290708e-06,208.63639974044625,"[0, 1, 2]"
fixed,mess,10,,10,,50000,1000,1000,23.254398999999466,0.3875733166666578,nan,106.88068030696962,6.687795641726914e-05,275.7689338012272,"[0, 1, 2]"
sweep,mpcn,10,10,,0.5,50000,1000,1000,nan,nan,nan,39.28584316996716,8.458075902290708e-06,nan,"[0, 1, 2]"
sweep,mess,10,,10,,50000,1000,1000,nan,nan,nan,106.88068030696962,6.687795641726914e-05,nan,"[0, 1, 2]"
sweep,mpcn,20,10,,0.5,50000,1000,1000,nan,nan,nan,46.4378532852939,1.0623476738902188e-05,nan,"[0, 1, 2]"
sweep,mess,20,,10,,50000,1000,1000,nan,nan,nan,131.51900000702912,7.713276500679144e-05,nan,"[0, 1, 2]"
sweep,mpcn,30,10,,0.5,50000,1000,1000,nan,nan,nan,48.03784397574716,8.849810213079993e-06,nan,"[0, 1, 2]"
sweep,mess,30,,10,,50000,1000,1000,nan,nan,nan,94.99699927315004,7.322238197417031e-05,nan,"[0, 1, 2]"
sweep,mpcn,40,10,,0.5,50000,1000,1000,nan,nan,nan,45.692909301707004,8.767622821503827e-06,nan,"[0, 1, 2]"
sweep,mess,40,,10,,50000,1000,1000,nan,nan,nan,92.14542720546484,7.286547019289231e-05,nan,"[0, 1, 2]"
